ZteTrapBody(id=7713176353848797647, newOrClear=1, trapId=1718086733484, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT035, siteName=HRTC035_Qalwar_P1(2035), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:26:47.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733484, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:40:47.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=3668362478162374988, newOrClear=1, trapId=1718086733570, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT035, siteName=HRTC035_Qalwar_P1(2035), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,13:44:44.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733570, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,13:45:2.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7091618044655947508, newOrClear=1, trapId=1718086733663, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=HRT035, siteName=HRTC035_Qalwar_P1(2035), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=HRT035, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,14:7:45.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733663, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,14:9:7.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=5058184589905860034, newOrClear=1, trapId=1718086733754, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GZN039, siteName=GZNP039_QAMBAR-E-SNANGMASHA_CPX_Solar_P3(5039), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GZN039, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,14:57:38.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086733754, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,17:50:59.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=null, newOrClear=2, trapId=1718086732265, alarmCode=198092559, alarmName=null, siteId=null, siteName=null, alarmSeverity=null, alarmEventType=null, alarmNetType=null, alarmServiceType=null, displaySiteId=null, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=null, alarmClearedTime=2025-3-9,17:54:41.0,+4:30, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
ZteTrapBody(id=7411970970546343097, newOrClear=1, trapId=1718086735335, alarmCode=198092559, alarmName=RECTIFIER FAILURE, siteId=GDZ001, siteName=GDZC001_BSC_Site_Gardez001_P1(3201), alarmSeverity=null, alarmEventType=5, alarmNetType=null, alarmServiceType=2G, displaySiteId=GDZ001, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-3-9,20:42:33.0,+4:30, alarmClearedTime=null, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
